id;name;zip_code;street;number;neighborhood;city;state;reception_phone;sector;main_registration;type
64;Condomínio Edifício Novare;06472005;Avenida Ômega;174;Alphaville;Barueri;SP;;0;170.965;1
65;Condomínio Edifício Choice 1;06472005;Avenida Ômega;265;Alphaville;Barueri;SP;;0;;1
66;Condomínio Edifício Verte Ville II;06472007;Avenida Vert Ville ;610;Alphaville;Barueri;SP;;0;69.166;1
67;Condomínio Lumina Gramercy Park;06465136;Avenida Parkinson;72;Alphaville;Barueri;SP;;0;133.546;1
68;Condomínio Brascan Century Plaza Green Valley Commercial;06473000;Avenida Andrômeda;885;Alphaville;Barueri;SP;;1;134.686;14
69;Condomínio Life Park;06465135;Avenida Delmar;277;Alphaville;Barueri;SP;;0;133.542;1
70;Condomínio Atria Alphaville;06473000;Avenida Andrômeda;206;Alphaville;Barueri;SP;;0;193.663;1
71;Condomínio Myra Alphaville ;06473000;Avenida Andrômeda;152;Alphaville;Barueri;SP;;0;;1
72;Condomínio Acqua Park;06465134;Rua Bonnard;132;Alphaville;Barueri;SP;;0;133.537;1
73;Condomínio Comercial Edifício Alpha Park;06455000;Alameda Araguaia ;943;Alphaville;Barueri;SP;;1;28.383;14
74;Condomínio 1I-Gloo Alphaville;06485360;Rua Vicente De Carvalho;219;Alphaville;Barueri;SP;;0;145.490;1
75;Condomínio Splendya 1;06485370;Rua Augusto dos Anjos;139;Alphaville;Barueri;SP;;0;155.330;1
76;Condomínio Splendya 1II;06485370;Rua Augusto dos Anjos;155;Alphaville;Barueri;SP;;0;167.906;1
77;Condomínio Edifício Júpiter;06541005;Avenida Marte;245;Alphaville;Santana de Parnaíba;SP;;0;81.793;1
78;Condominio Edificio Marte;06541005;Avenida Marte;273;Alphaville;Santana de Parnaíba;SP;;0;86.365;1
79;Condominio Edificio Maison de Ville;06541005;Avenida Marte;125;Alphaville;Santana de Parnaíba;SP;;0;80.459;1
80;Condomínio Alpha Vita;06542089;Avenida Universitário;585;Alphaville;Santana de Parnaíba;SP;;0;135.800;1
81;Condomínio Green Tamboré;06543001;Avenida Marcos Penteado Ulhôa Rodrigues;4446;Alphaville;Santana de Parnaíba;SP;;0;129.533;1
82;Condominio Jardins de Tambore;06544515;Alameda Terras Altas ;35;Alphaville;Santana de Parnaíba;SP;;2;148.313;3
83;Condomínio 1The Penthouses Tamboré;06543001;Avenida Marcos Penteado Ulhôa Rodrigues;3566;Alphaville;Santana de Parnaíba;SP;;0;106.397;1
84;Condominio Edificio Ghaia;06543315;Alameda América;101;Alphaville;Santana de Parnaíba;SP;;0;135.094;1
85;Condomínio Link Studios & Offices;06544300;Avenida dos Parques;45;Alphaville;Santana de Parnaíba;SP;;2;164.788;15
86;Condominio Edificio Stadium;06454000;Alameda Rio Negro ;1030;Alphaville;Barueri;SP;;2;53.277;15
87;Condominio Edificio Sequoia Residence;06454010;Alameda Madeira;292;Alphaville;Barueri;SP;;0;;1
88;Condomínio Edifício Europa;06454020;Avenida Cauaxi ;431;Alphaville;Barueri;SP;;0;92.325;1
89;Condomínio Uptown Housing;06541035;Avenida Altos de Alphaville;500;Alphaville;Santana de Parnaíba;SP;;0;61.370;16
90;Condomínio Quintas de Tamboré;06544515;Alameda Terras Altas;433;Alphaville;Santana de Parnaíba;SP;;0;;16
91;Condomínio Bonnard 307;06465134;Rua Bonnard;307;Alphaville;Barueri;SP;;0;;1
92;Condomínio West Gate ;06454020;Alameda Tocantins;75;Alphaville;Barueri;SP;;1;;14
93;Condomínio West Point;06454000;Alameda Rio Negro;161;Alphaville;Barueri;SP;;1;28.326;14
94;Condominio West Side;06455020;Alameda Tocantins;125;Alphaville;Barueri;SP;;1;28.328;270
95;Condomínio West Towers;06454000;Alameda Rio Negro;500;Alphaville;Barueri;SP;;1;62.827;14
96;Condomínio Canopus Corporate Alphaville;06460000;Avenida Tamboré ;267;Alphaville;Barueri;SP;;1;1.207;14
97;Centro Empresarial Araguaia - Cea I;06455000;Alameda Araguaia ;2044;Alphaville;Barueri;SP;;1;124.627;14
98;Centro Empresarial Araguaia II - Cea II;06455000;Alameda Araguaia ;2190;Alphaville;Barueri;SP;;1;124.630;14
99;Edifício CEA Corporate;06455000;Alameda Araguaia ;2104;Alphaville;Barueri;SP;;1;;14
100;Edifício Office Shopping Tamboré;06460040;Avenida Marcos Penteado Ulhôa Rodrigues;1.119;Alphaville;Barueri;SP;;1;85.415;12
101;Condomínio Escritórios Rio Negro;06454000;Alameda Rio Negro;503;Alphaville;Barueri;SP;;1;9.724;12
102;Condomínio Centro Administrativo Rio Negro;06454000;Alameda Rio Negro;585;Alphaville;Barueri;SP;;1;115.321;14
103;Edifício Alpha Premium - Rio Negro Business Center;06454000;Alameda Rio Negro;967;Alphaville;Barueri;SP;;1;156.370;14
104;Condomínio Edifício Station Square;06454010;Alameda Madeira;53;Alphaville;Barueri;SP;;1;;14
105;Edificio Amazonia;06454040;Alameda Mamoré;687;Alphaville;Barueri;SP;;1;;6
106;Condomínio Plaza Alphaville;06453051;Alameda Rio Negro;1.084;Alphaville;Barueri;SP;;1;58.450;14
107;Condomínio New Worker Tower Alphaville;06454050;Alameda Grajaú;60;Alphaville;Barueri;SP;;1;21.156;14
108;Condominio Edificio Pravda;06454050;Alameda Grajaú;98;Alphaville;Barueri;SP;;1;28.539;14
109;Condomínio Edifício Murano Business Office;06454050;Alameda Grajaú;129;Alphaville;Barueri;SP;;1;33.939;14
110;Condomínio Edifício Personal Business Office;06454040;Alameda Mamoré;535;Alphaville;Barueri;SP;;1;66.699;14
111;Condomínio Edifício Icon;06454041;Alameda Mamoré;503;Alphaville;Barueri;SP;;1;;14
112;Edifício Guinzza Trade Center;06454010;Alameda Madeira;258;Alphaville;Barueri;SP;;1;97.175;12
113;Condomínio Edifício Alfacon;06454010;Alameda Madeira;222;Alphaville;Barueri;SP;;1;;14
114;Condomínio Quebec Business Center;06454010;Alameda Madeira;162;Alphaville;Barueri;SP;;1;131.071;14
115;Condomínio Cauaxi Empresarial;06454020;Avenida Cauaxi ;350;Alphaville;Barueri;SP;;1;53.669;12
116;Condominio Alpha Green Business Tower;06454020;Avenida Cauaxi ;293;Alphaville;Barueri;SP;;1;154.394;14
117;Condomínio Medic Life;06472001;Avenida Copacaba ;112;Alphaville;Barueri;SP;;1;134.748;14
118;Edifício Empresarial Conti Chiari;06472001;Avenida Copacaba ;238;Alphaville;Barueri;SP;;1;;14
119;Condomínio Edifício Gama Offices;06472001;Avenida Copacaba ;177;Alphaville;Barueri;SP;;1;100.720;14
120;Edificio Montreal Plaza;06472001;Avenida Copacaba ;325;Alphaville;Barueri;SP;;1;149.096;14
121;Condomínio Smart Office Alphaville;06485365;Rua Rubem Braga;58;Alphaville;Barueri;SP;;1;116.853;12
122;Condomínio Wave Alphaville;06472003;Alameda Leblon;15;Alphaville;Barueri;SP;;0;95.117;1
123;Condomínio Edifício Air Offices;06473000;Avenida Andrômeda;723;Alphaville;Barueri;SP;;1;133.551;14
124;Condomínio Edifício Ômega;06454000;Alameda Rio Negro;911;Alphaville;Barueri;SP;;1;28.380;14
125;Condomínio Trend Tower;06472001;Avenida Copacaba ;268;Alphaville;Barueri;SP;;2;218.001;15
126;Condomínio Soho Tamboré;06543001;Avenida Marcos Penteado Ulhôa Rodrigues;624;Alphaville;Santana de Parnaíba;SP;;0;149.176;1
127;Condomínio Resort Tamboré;06543001;Avenida Marcos Penteado Ulhôa Rodrigues;3800;Alphaville;Santana de Parnaíba;SP;;0;143.665;1
128;Condominio 1Parque Tamboré;06543001;Avenida Marcos Penteado Ulhôa Rodrigues;1001;Alphaville;Santana de Parnaíba;SP;;0;106.449;1
129;Condomínio Bosques de Tamboré;06543001;Avenida Marcos Penteado Ulhôa Rodrigues;5100;Alphaville;Santana de Parnaíba;SP;;0;98.745;1
130;Condomínio 1Alphalife Tamboré;06543001;Avenida Marcos Penteado Ulhôa Rodrigues;1.081;Alphaville;Santana de Parnaíba;SP;;0;106.450;1
131;Condomínio Alpha Square ;06473073;Avenida Sagitário;138;Alphaville;Barueri;SP;;1;111.058;14
132;Condomínio Alpha Guarden;06473073;Avenida Sagitário;198;Alphaville;Barueri;SP;;0;111.058;1
133;Condomínio Alpha Park ;06473073;Avenida Sagitário;278;Alphaville;Barueri;SP;;0;111.058;1
134;Condomínio Verone ;06473010;Alameda Centauro;919;Alphaville;Barueri;SP;;0;135.095;1
135;Condomínio 1Royal Park;06465135;Avenida Delmar ;351;Alphaville;Barueri;SP;;0;133.535;1
136;Condomínio Bellini Alphaville ;06460121;Avenida Piraíba;263;Alphaville;Barueri;SP;;0;117.581;1
137;Condomínio Edifício Vogue;06454020;Avenida Cauaxi;329;Alphaville;Barueri;SP;;0;86.347;1
138;Condomínio Edifício Regina;06454020;Avenida Cauaxi;258;Alphaville;Barueri;SP;;0;34.154;1
139;Condomínio Level Alphaville ;06473073;Avenida Sagitário;233;Alphaville;Barueri;SP;;0;212.148;1
140;Condomínio Wi-House Alphaville;06454070;Alameda Amazonas;495;Alphaville;Barueri;SP;;0;63.566;1
141;Condomínio Edifício Chateau;06454020;Avenida Cauaxi;363;Alphaville;Barueri;SP;;0;57.014;1
142;Associação 1Scenic;06540900;Avenida Pentágono ;1100;Alphaville;Santana de Parnaíba;SP;;0;105.990;1
143;Condomínio Tamboré 05 - Villaggio;06543901;Alameda Gregório Bogossian Sobrinho;60;Alphaville;Santana de Parnaíba;SP;;0;109.241;1
144;Condomínio Tamboré 04 - Villaggio;06544072;Avenida Victor Civita;235;Alphaville;Santana de Parnaíba;SP;;0;105.698;1
145;Condomínio Tamboré 06 - Villaggio;06543502;Alameda Ibérica;285;Alphaville;Santana de Parnaíba;SP;;0;110.587;1
146;Condomínio Edifício Alpha Style ;06454080;Alameda Itapecuru;214;Alphaville;Barueri;SP;;0;137.314;1
147;Condomínio Canvas High House ;06454020;Avenida Cauaxi;370;Alphaville;Barueri;SP;;0;36.880;1
148;Edifício Crystal Tower;06454040;Alameda Mamoré,;989;Alphaville;Barueri;SP;;1;99.199;14
149;Condominio Edificio Lazulli Corporate Office;06472001;Avenida Copacaba ;190;Alphaville;Barueri;SP;;1;160.739;14
150;Condominio Edificio Vitoria II;06454050;Alameda Grajaú;218;Alphaville;Barueri;SP;;0;53.110;1
151;Condomínio Edifício Eagle Point;06455000;Alameda Araguaia;1293;Alphaville;Barueri;SP;;1;28.381;14
152;Castelo Branco Office Park;06460040;Avenida Marcos Penteado Ulhôa Rodrigues;819;Alphaville;Barueri;SP;;1;144.676;14
153;Condomínio Edifício Evolution Corporate;06455914;Alameda Xingu ;512;Alphaville;Barueri;SP;;1;148.521;14
154;Condomínio Edifício Itower;06455911;Alameda Xingu;350;Alphaville;Barueri;SP;;1;138.678;14
155;Condomínio Edifício Oiapoque;06454080;Alameda Itapecuru ;322;Alphaville;Barueri;SP;;0;40.616;1
156;Condomínio Edifício Ana Paula;06541005;Avenida Marte;376;Alphaville;Santana de Parnaíba;SP;;0;78.986;1
157;Condomínio Edifício Copacabana;06472001;Avenida Copacaba ;229;Alphaville;Barueri;SP;;0;104.750;1
158;Condomínio Jardins de Monet ;06454080;Alameda Itapecuru;244;Alphaville;Barueri;SP;;0;8140;1
159;Condomínio Edifício Essencia Alphaville;06454080;Alameda Itapecuru;283;Alphaville;Barueri;SP;;0;62.133;1
160;Condomíno Edifício America II;06454080;Alameda Itapecuru;473;Alphaville;Barueri;SP;;0;97.250;1
161;Condomíno Edifício America I;06454050;Alameda Grajaú;482;Alphaville;Barueri;SP;;0;95.247;1
162;Condomínio Edifício Phanton;06454040;Alameda Mamoré;737;Alphaville;Barueri;SP;;0;44.726;1
163;Condomínio Edifício Mirage;06454040;Alameda Mamoré;109;Alphaville;Barueri;SP;;0;19.460;1
164;Condomínio Edifício De Ville;06454040;Alameda Mamoré;947;Alphaville;Barueri;SP;;0;34.469;1
165;Condomínio Edifício Present Alphaville;06472005;Avenida Ômega;171;Alphaville;Barueri;SP;;0;100.722;1
166;Condomínio Edifício Metrópolis Flat and Office ;06454080;Alameda Itapecuru ;645;Alphaville;Barueri;SP;;2;3.942;9
