"id";"complex_id";"zip_code"
279;179;"06474109"
280;179;"06474180"
281;179;"06474160"
282;179;"06474230"
283;179;"06474220"
284;179;"06474170"
285;180;"06475170"
286;180;"06475020"
287;180;"06475050"
288;180;"06475010"
289;180;"06475180"
290;180;"06475190"
291;180;"06475110"
292;180;"06475310"
293;180;"06475070"
294;180;"06475080"
295;180;"06475120"
296;180;"06475300"
297;180;"06475210"
298;180;"06475040"
299;180;"06475240"
300;180;"06475230"
301;180;"06475140"
302;180;"06475290"
303;180;"06475100"
304;180;"06475250"
305;180;"06475260"
306;180;"06475280"
307;180;"06475060"
308;180;"06544010"
309;180;"06544040"
310;180;"06544025"
311;180;"06544030"
312;180;"06544001"
313;180;"06544020"
314;180;"06544045"
315;180;"06544035"
316;180;"06544005"
317;180;"06544015"
318;180;"06544050"
319;181;"06542180"
320;181;"06542190"
321;181;"06542195"
322;181;"06542220"
323;181;"06542255"
324;181;"06542265"
325;181;"06542230"
326;181;"06542270"
327;181;"06542225"
328;181;"06542260"
329;181;"06542185"
330;181;"06542280"
331;181;"06542215"
332;181;"06542210"
333;181;"06542285"
334;181;"06542290"
335;181;"06542205"
336;181;"06542245"
337;181;"06542275"
338;181;"06542235"
339;181;"06542240"
340;181;"06542200"
341;181;"06542250"
342;182;"06543625"
343;182;"06543610"
344;182;"06543605"
345;182;"06543635"
346;182;"06543645"
347;182;"06543620"
348;182;"06543630"
349;182;"06543640"
350;182;"06543650"
351;182;"06543615"
352;182;"06543655"
353;182;"06543660"
354;182;"06543665"
355;182;"06543685"
356;182;"06543670"
357;182;"06543675"
358;183;"06458030"
359;183;"06458070"
360;183;"06458060"
361;183;"06458100"
362;183;"06458190"
363;183;"06458200"
364;183;"06458230"
365;183;"06458000"
366;183;"06458220"
367;183;"06458110"
368;183;"06458120"
369;183;"06458022"
370;183;"06458090"
371;183;"06458050"
372;183;"06458040"
373;183;"06458140"
374;183;"06458240"
375;183;"06458150"
376;183;"06458130"
377;183;"06458170"
378;183;"06458160"
379;183;"06458020"
380;183;"06458210"
381;183;"06458180"
382;183;"06458010"
383;183;"06458080"
384;184;"06543120"
385;184;"06543195"
386;184;"06543180"
387;184;"06543135"
388;184;"06543170"
389;184;"06543145"
390;184;"06543150"
391;184;"06543125"
392;184;"06543140"
393;184;"06543160"
394;184;"06543190"
395;184;"06543130"
396;184;"06543155"
397;184;"06543165"
398;184;"06543185"
399;184;"06543175"
400;184;"06543200"
401;184;"06543115"
402;184;"06543202"
403;185;"06543085"
404;185;"06543110"
405;185;"06543010"
406;185;"06543080"
407;185;"06543015"
408;185;"06543070"
409;185;"06543020"
410;185;"06543060"
411;185;"06543045"
412;185;"06543105"
413;185;"06543030"
414;185;"06543100"
415;185;"06543065"
416;185;"06543075"
417;185;"06543040"
418;185;"06543095"
419;185;"06543035"
420;185;"06543025"
421;185;"06543090"
422;185;"06543050"
423;185;"06543055"
424;185;"06543005"
425;186;"06544520"
426;186;"06544540"
427;186;"06544560"
428;186;"06544510"
429;186;"06544610"
430;186;"06544590"
431;186;"06544630"
432;186;"06544600"
433;186;"06544570"
434;186;"06544530"
435;186;"06544620"
436;186;"06544500"
437;186;"06544515"
438;187;"06544700"
439;187;"06544702"
440;187;"06544706"
441;187;"06544740"
442;187;"06544722"
443;187;"06544728"
444;187;"06544717"
445;187;"06544730"
446;187;"06544726"
447;187;"06544724"
448;187;"06544738"
449;187;"06544732"
450;187;"06544719"
451;187;"06544735"
452;187;"06544710"
453;187;"06544714"
454;188;"06537380"
455;188;"06537445"
456;188;"06537460"
457;188;"06537395"
458;188;"06537390"
459;188;"06537425"
460;188;"06537450"
461;188;"06537430"
462;188;"06537410"
463;188;"06537400"
464;188;"06537455"
465;188;"06537490"
466;188;"06537485"
467;188;"06537365"
468;188;"06537480"
469;188;"06537495"
470;188;"06537375"
471;188;"06537385"
472;188;"06537420"
473;188;"06537370"
474;188;"06537500"
475;188;"06537440"
476;188;"06537465"
477;188;"06537415"
478;188;"06537435"
479;188;"06537360"
480;188;"06537475"
481;188;"06537470"
482;188;"06537350"
483;188;"06537405"
484;188;"06537355"
485;188;"06537204"
486;188;"06537208"
487;188;"06537206"
488;188;"06537202"
489;188;"06537212"
490;188;"06537210"
491;188;"06537218"
492;188;"06537214"
493;188;"06537216"
494;188;"06537200"
495;189;"06543330"
496;189;"06543355"
497;189;"06543345"
498;189;"06543350"
499;189;"06543340"
500;189;"06543335"
501;190;"06543255"
502;190;"06543290"
503;190;"06543265"
504;190;"06543300"
505;190;"06543260"
506;190;"06543295"
507;190;"06543270"
508;190;"06543275"
509;190;"06543280"
510;190;"06543285"
511;190;"06543305"
512;191;"06473051"
513;191;"06473057"
514;191;"06473055"
515;191;"06473060"
516;191;"06473072"
517;191;"06473065"
518;191;"06473070"
519;191;"06473076"
520;191;"06473079"
521;191;"06473084"
522;191;"06473082"
523;191;"06473068"
524;192;"06543245"
525;192;"06543250"
526;192;"06543230"
527;192;"06543235"
528;192;"06543220"
529;192;"06543205"
530;192;"06543240"
531;192;"06543210"
532;192;"06543225"
533;192;"06543215"
534;193;"06458262"
535;193;"06458255"
536;193;"06458257"
537;193;"06458259"
538;193;"06458265"
539;193;"06458285"
540;193;"06458275"
541;193;"06458260"
542;193;"06458290"
543;193;"06458280"
544;193;"06458270"
545;194;"06471002"
546;194;"06471010"
547;194;"06471006"
548;194;"06471003"
549;194;"06471005"
550;194;"06471001"
551;194;"06471004"
552;195;"06544460"
553;195;"06544450"
554;195;"06544390"
555;195;"06544360"
556;195;"06544400"
557;195;"06544380"
558;195;"06544420"
559;195;"06544430"
560;195;"06544440"
561;195;"06544350"
562;195;"06544370"
563;195;"06544410"
564;195;"06544300"
565;195;"06544310"
