id;horizontal_complex_id;zip_code
518;27;06473070
519;27;06473076
520;27;06473079
521;27;06473084
522;27;06473082
523;27;06473068
524;28;06543245
525;28;06543250
526;28;06543230
527;28;06543235
528;28;06543220
529;28;06543205
530;28;06543240
531;28;06543210
532;28;06543225
533;28;06543215
534;29;06458262
535;29;06458255
536;29;06458257
537;29;06458259
538;29;06458265
539;29;06458285
540;29;06458275
541;29;06458260
542;29;06458290
543;29;06458280
544;29;06458270
545;30;06471002
546;30;06471010
547;30;06471006
548;30;06471003
549;30;06471005
550;30;06471001
551;30;06471004
552;31;06544460
553;31;06544450
554;31;06544390
555;31;06544360
556;31;06544400
557;31;06544380
558;31;06544420
559;31;06544430
560;31;06544440
561;31;06544350
562;31;06544370
563;31;06544410
564;31;06544300
565;31;06544310
